epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1878.89,0.50384,0.77184,0.46184,1.03812,0.83596,0.78558,0.82931,0.72776,0.83484,0.7865,0.83268,0.71052,0.58406,1.09335,0.85409,0.91848,0.0007526,0.0007526,0.0007526
65,1910.88,0.47069,0.68128,0.42946,0.96789,0.84846,0.75712,0.82366,0.72597,0.85059,0.75901,0.82536,0.70018,0.59452,1.32017,0.90094,0.92739,0.0007328,0.0007328,0.0007328
66,1939.02,0.45759,0.63683,0.39876,0.9645,0.83762,0.78368,0.83606,0.73518,0.83607,0.78391,0.83748,0.71321,0.5811,1.16157,0.85726,0.90615,0.000713,0.000713,0.000713
67,1967.76,0.48996,0.65852,0.45177,0.99004,0.86211,0.74763,0.80012,0.69587,0.8643,0.74953,0.80424,0.67314,0.61319,1.1795,0.94263,0.93463,0.0006932,0.0006932,0.0006932
68,1997.93,0.47627,0.67888,0.43631,0.98309,0.86385,0.75332,0.82494,0.71602,0.86385,0.75332,0.82401,0.6937,0.60034,1.16044,0.8638,0.93052,0.0006734,0.0006734,0.0006734
69,2026.14,0.45959,0.62121,0.40211,0.96045,0.85528,0.77419,0.81665,0.71624,0.85109,0.7704,0.81162,0.69604,0.59312,1.17857,0.87146,0.92519,0.0006536,0.0006536,0.0006536
70,2054.04,0.44859,0.62688,0.39678,0.95991,0.86095,0.73435,0.81468,0.71402,0.86095,0.73435,0.81638,0.69104,0.60654,1.1483,0.90661,0.93949,0.0006338,0.0006338,0.0006338
71,2082.06,0.45252,0.65522,0.39951,0.9569,0.83064,0.77244,0.82255,0.71868,0.83343,0.77854,0.82533,0.69922,0.58721,1.21139,0.82254,0.92864,0.000614,0.000614,0.000614
72,2110.05,0.44783,0.62456,0.39051,0.95804,0.86854,0.75522,0.8259,0.72012,0.86153,0.75332,0.82703,0.69515,0.61552,1.12875,0.88854,0.9417,0.0005942,0.0005942,0.0005942
73,2155.75,0.45438,0.65146,0.4374,0.95936,0.85865,0.7704,0.8254,0.71753,0.85654,0.7685,0.82086,0.69097,0.60975,1.18101,0.89288,0.94343,0.0005744,0.0005744,0.0005744
74,2184.87,0.43609,0.59643,0.38446,0.96396,0.86763,0.77609,0.83335,0.73059,0.8655,0.77419,0.82921,0.70268,0.61298,1.17461,0.86077,0.94291,0.0005546,0.0005546,0.0005546
75,2213.21,0.45922,0.63206,0.39631,0.97068,0.87371,0.74953,0.83421,0.72846,0.86911,0.74573,0.83076,0.70569,0.58115,1.12642,0.85538,0.91423,0.0005348,0.0005348,0.0005348
