epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1333.79,0.43463,0.61765,0.34542,0.92913,0.88849,0.77889,0.84285,0.74153,0.85726,0.80151,0.84645,0.71866,0.572,1.19802,0.74076,0.89236,0.0004358,0.0004358,0.0004358
81,1350.08,0.43593,0.58052,0.35194,0.92257,0.88345,0.81407,0.85015,0.744,0.88007,0.81407,0.85563,0.72177,0.60872,1.19313,0.72809,0.91747,0.000416,0.000416,0.000416
82,1366.3,0.43803,0.57314,0.35371,0.92984,0.86313,0.80151,0.84269,0.74063,0.85928,0.81407,0.84428,0.71212,0.58706,1.18903,0.73948,0.915,0.0003962,0.0003962,0.0003962
83,1382.75,0.42074,0.57738,0.34825,0.91525,0.86727,0.80447,0.84974,0.7456,0.85704,0.82161,0.85186,0.71551,0.58357,1.20321,0.72143,0.91048,0.0003764,0.0003764,0.0003764
84,1399.45,0.43726,0.59303,0.36893,0.93527,0.83268,0.82663,0.84524,0.7455,0.83268,0.82663,0.84577,0.71516,0.56881,1.15506,0.72001,0.91016,0.0003566,0.0003566,0.0003566
85,1416.4,0.41722,0.5784,0.34113,0.92137,0.86967,0.81658,0.85282,0.74789,0.87235,0.8191,0.85565,0.72,0.59772,1.1871,0.68877,0.92086,0.0003368,0.0003368,0.0003368
86,1432.67,0.41053,0.55939,0.33342,0.90536,0.86861,0.81658,0.85472,0.75367,0.87129,0.8191,0.85618,0.72657,0.58235,1.17784,0.71317,0.90073,0.000317,0.000317,0.000317
87,1449.7,0.41953,0.57142,0.33535,0.92015,0.87787,0.80905,0.85252,0.75367,0.87757,0.81045,0.85548,0.72504,0.59058,1.20479,0.68278,0.92048,0.0002972,0.0002972,0.0002972
88,1466.75,0.40917,0.55867,0.33124,0.90686,0.883,0.80653,0.85042,0.75006,0.88248,0.80905,0.85541,0.71991,0.58472,1.17323,0.6849,0.92047,0.0002774,0.0002774,0.0002774
89,1483.3,0.41319,0.56549,0.33483,0.91441,0.89124,0.79397,0.85506,0.75405,0.89124,0.79397,0.85786,0.72388,0.59231,1.16388,0.69363,0.92231,0.0002576,0.0002576,0.0002576
90,1500.44,0.42724,0.55833,0.37531,0.92297,0.88261,0.79648,0.85022,0.75445,0.88159,0.80441,0.85624,0.72158,0.59166,1.17958,0.70328,0.92406,0.0002378,0.0002378,0.0002378
91,1518.68,0.36552,0.5329,0.37479,0.91339,0.93524,0.76195,0.84617,0.74719,0.93524,0.76195,0.85066,0.72082,0.58403,1.19062,0.7153,0.91713,0.000218,0.000218,0.000218
92,1534.63,0.3502,0.48457,0.29731,0.88163,0.89729,0.7902,0.86126,0.75952,0.8956,0.79754,0.86638,0.73852,0.58111,1.20606,0.66508,0.92033,0.0001982,0.0001982,0.0001982
93,1550.23,0.3484,0.50302,0.29465,0.88363,0.90112,0.78392,0.85798,0.7482,0.85795,0.81407,0.862,0.73069,0.59393,1.22381,0.68826,0.92463,0.0001784,0.0001784,0.0001784
94,1565.78,0.34047,0.49622,0.26902,0.88516,0.90296,0.77157,0.85088,0.74934,0.87425,0.80351,0.85765,0.72347,0.57862,1.21742,0.68008,0.91318,0.0001586,0.0001586,0.0001586
95,1581.57,0.35371,0.50282,0.27584,0.88719,0.87704,0.78894,0.85445,0.75218,0.87645,0.78894,0.85995,0.72603,0.57775,1.19436,0.69424,0.92542,0.0001388,0.0001388,0.0001388
96,1596.78,0.32806,0.46976,0.25348,0.87694,0.89055,0.79397,0.85808,0.75961,0.89055,0.79397,0.86351,0.7323,0.57828,1.1727,0.69629,0.91995,0.000119,0.000119,0.000119
97,1612.01,0.33209,0.46287,0.25338,0.88141,0.89753,0.78643,0.85903,0.75814,0.89457,0.78884,0.86528,0.73533,0.57554,1.1577,0.69417,0.92392,9.92e-05,9.92e-05,9.92e-05
98,1627.47,0.33016,0.45084,0.25445,0.87777,0.91199,0.78392,0.85525,0.75858,0.91246,0.78564,0.86076,0.73278,0.58153,1.16165,0.70056,0.92264,7.94e-05,7.94e-05,7.94e-05
99,1642.88,0.31926,0.45882,0.2491,0.86676,0.90463,0.78647,0.85703,0.75669,0.90486,0.78859,0.86073,0.73013,0.5785,1.17312,0.6962,0.92057,5.96e-05,5.96e-05,5.96e-05
100,1658.66,0.33195,0.49247,0.25652,0.89413,0.9077,0.7907,0.85662,0.75924,0.9077,0.7907,0.86356,0.73142,0.58966,1.18151,0.6876,0.93328,3.98e-05,3.98e-05,3.98e-05
